n,expected_moves,rec_moves,rec_mean_us,rec_min_us,it_moves,it_mean_us,it_min_us
1,1,1,0.000,0.000,1,0.400,0.000
2,3,3,0.000,0.000,3,1.000,1.000
3,7,7,0.000,0.000,7,1.100,1.000
4,15,15,0.000,0.000,15,4.350,4.000
5,31,31,0.000,0.000,31,7.100,6.000
6,63,63,0.000,0.000,63,14.700,11.000
7,127,127,3.600,0.000,127,36.350,31.000
8,255,255,0.300,0.000,255,47.600,47.000
9,511,511,1.000,1.000,511,94.450,93.000
10,1023,1023,5.800,4.000,1023,248.100,188.000
11,2047,2047,7.100,7.000,2047,409.350,375.000
12,4095,4095,14.050,14.000,4095,777.000,751.000
13,8191,8191,26.600,24.000,8191,1575.400,1508.000
14,16383,16383,49.050,47.000,16383,3096.500,3015.000
15,32767,32767,188.350,173.000,32767,6919.700,6037.000
16,65535,65535,213.000,191.000,65535,12231.300,12069.000
17,131071,131071,407.600,383.000,131071,27697.100,24343.000
18,262143,262143,816.950,767.000,262143,49862.900,48543.000
19,524287,524287,2111.200,1538.000,524287,99248.950,96895.000
20,1048575,1048575,3221.600,3072.000,1048575,199593.700,194052.000
21,2097151,2097151,6428.150,6148.000,2097151,399711.900,389034.000
22,4194303,4194303,12800.200,12321.000,4194303,805013.450,776952.000
23,8388607,8388607,26426.850,24673.000,8388607,1599065.800,1564637.000
