n,trial,time_ms,ops,last_r
1000,1,0.0188,1000,125368709
1000,2,0.0176,1000,1604458157
1000,3,0.0174,1000,936063958
1000,4,0.0176,1000,267669759
1000,5,0.0177,1000,1746759207
2000,1,0.0353,2000,1261351798
2000,2,0.0349,2000,1644781314
2000,3,0.0347,2000,2028210830
2000,4,0.0352,2000,264156699
2000,5,0.0353,2000,647586215
5000,1,0.0881,5000,1749887886
5000,2,0.0882,5000,1376475387
5000,3,0.0879,5000,1003062888
5000,4,0.098,5000,629650389
5000,5,0.0974,5000,256237890
10000,1,0.1976,10000,505423226
10000,2,0.1965,10000,31090719
10000,3,0.1934,10000,1704241859
10000,4,0.1988,10000,1229909352
10000,5,0.1963,10000,755576845
20000,1,0.3885,20000,1949637974
20000,2,0.3935,20000,26297479
20000,3,0.3935,20000,250440631
20000,4,0.3872,20000,474583783
20000,5,0.4592,20000,698726935
50000,1,0.9833,50000,793768150
50000,2,0.9877,50000,1988070058
50000,3,0.9877,50000,1034888319
50000,4,0.9859,50000,81706580
50000,5,0.9918,50000,1276008488
100000,1,1.8596,100000,1527669031
100000,2,1.7511,100000,1928091922
100000,3,2.0353,100000,181031166
100000,4,1.8139,100000,581454057
100000,5,1.8484,100000,981876948
200000,1,3.7707,200000,1062930713
200000,2,3.9281,200000,2040766678
200000,3,3.5679,200000,871118996
200000,4,3.6102,200000,1848954961
200000,5,3.6157,200000,679307279
500000,1,9.088,500000,1747454733
500000,2,8.832,500000,2013543246
500000,3,8.8863,500000,132148112
500000,4,8.9913,500000,398236625
500000,5,8.7798,500000,664325138
1000000,1,17.5745,1000000,24972237
1000000,2,17.6341,1000000,440701539
1000000,3,17.6464,1000000,856430841
1000000,4,17.5035,1000000,1272160143
1000000,5,17.4708,1000000,1687889445
